Time_ms,ADC_Raw,V_measured,V_source,Current_A,Power_W
52686,4,0.013,0.001,0.000001,0
52821,4,0.013,0.001,0.000001,0
52956,5,0.016,0.002,0.000002,0
53091,9,0.029,0.003,0.000003,0
53226,5,0.016,0.002,0.000002,0
53361,4,0.013,0.001,0.000001,0
53496,5,0.016,0.002,0.000002,0
53640,4,0.013,0.001,0.000001,0
53775,6,0.019,0.002,0.000002,0
53910,5,0.016,0.002,0.000002,0
54045,6,0.019,0.002,0.000002,0
54180,8,0.026,0.003,0.000003,0
54315,5,0.016,0.002,0.000002,0
54450,4,0.013,0.001,0.000001,0
54585,8,0.026,0.003,0.000003,0
54720,4,0.013,0.001,0.000001,0
54855,12,0.039,0.004,0.000004,0
54990,4,0.013,0.001,0.000001,0
55125,10,0.032,0.003,0.000003,0
55260,7,0.023,0.002,0.000002,0
55404,17,0.055,0.005,0.000005,0
55539,7,0.023,0.002,0.000002,0
55674,11,0.035,0.004,0.000003,0
55809,12,0.039,0.004,0.000004,0
55944,10,0.032,0.003,0.000003,0
56079,4,0.013,0.001,0.000001,0
56214,2,0.006,0.001,0.000001,0
56349,17,0.055,0.005,0.000005,0
56484,4,0.013,0.001,0.000001,0
56619,5,0.016,0.002,0.000002,0
56754,4,0.013,0.001,0.000001,0
56889,21,0.068,0.007,0.000007,0
57024,19,0.061,0.006,0.000006,0
57168,8,0.026,0.003,0.000003,0
57303,4,0.013,0.001,0.000001,0
57438,18,0.058,0.006,0.000006,0
57573,4,0.013,0.001,0.000001,0
57708,12,0.039,0.004,0.000004,0
57843,12,0.039,0.004,0.000004,0
57978,4,0.013,0.001,0.000001,0
58113,21,0.068,0.007,0.000007,0
58248,5,0.016,0.002,0.000002,0
58383,18,0.058,0.006,0.000006,0
58518,2,0.006,0.001,0.000001,0
58653,4,0.013,0.001,0.000001,0
58788,4,0.013,0.001,0.000001,0
58932,8,0.026,0.003,0.000003,0
59067,15,0.048,0.005,0.000005,0
59202,16,0.052,0.005,0.000005,0
59337,4,0.013,0.001,0.000001,0
59472,21,0.068,0.007,0.000007,0
59607,6,0.019,0.002,0.000002,0
59742,18,0.058,0.006,0.000006,0
59877,3,0.01,0.001,0.000001,0
60012,13,0.042,0.004,0.000004,0
60147,23,0.074,0.007,0.000007,0
60282,17,0.055,0.005,0.000005,0
60417,23,0.074,0.007,0.000007,0
60561,14,0.045,0.004,0.000004,0
60696,10,0.032,0.003,0.000003,0
60831,9,0.029,0.003,0.000003,0
60966,3,0.01,0.001,0.000001,0
61101,4,0.013,0.001,0.000001,0
61236,19,0.061,0.006,0.000006,0
61371,4,0.013,0.001,0.000001,0
61506,28,0.09,0.009,0.000009,0
61641,29,0.094,0.009,0.000009,0
61776,17,0.055,0.005,0.000005,0
61911,16,0.052,0.005,0.000005,0
62046,20,0.065,0.006,0.000006,0
62181,27,0.087,0.009,0.000009,0
62324,1,0.003,0,0,0
62459,11,0.035,0.004,0.000003,0
62594,32,0.103,0.01,0.00001,0
62729,28,0.09,0.009,0.000009,0
62864,20,0.065,0.006,0.000006,0
62999,4,0.013,0.001,0.000001,0
63134,10,0.032,0.003,0.000003,0
63269,25,0.081,0.008,0.000008,0
