Time_ms,ADC_Raw,V_measured,V_source,Current_A,Power_W
20597,2,0.006,0.001,0.000001,0
20642,4,0.013,0.001,0.000001,0
20687,4,0.013,0.001,0.000001,0
20732,4,0.013,0.001,0.000001,0
20777,1,0.003,0,0,0
20822,4,0.013,0.001,0.000001,0
20867,3,0.01,0.001,0.000001,0
20912,4,0.013,0.001,0.000001,0
20957,4,0.013,0.001,0.000001,0
21010,3,0.01,0.001,0.000001,0
21055,4,0.013,0.001,0.000001,0
21100,2,0.006,0.001,0.000001,0
21145,4,0.013,0.001,0.000001,0
21190,5,0.016,0.002,0.000002,0
21235,5,0.016,0.002,0.000002,0
21325,4,0.013,0.001,0.000001,0
21370,4,0.013,0.001,0.000001,0
21415,4,0.013,0.001,0.000001,0
21460,4,0.013,0.001,0.000001,0
21505,3,0.01,0.001,0.000001,0
21550,3,0.01,0.001,0.000001,0
21595,4,0.013,0.001,0.000001,0
21648,4,0.013,0.001,0.000001,0
21693,3,0.01,0.001,0.000001,0
21738,4,0.013,0.001,0.000001,0
21783,4,0.013,0.001,0.000001,0
21828,3,0.01,0.001,0.000001,0
21873,4,0.013,0.001,0.000001,0
21918,3,0.01,0.001,0.000001,0
21963,4,0.013,0.001,0.000001,0
22008,4,0.013,0.001,0.000001,0
22053,4,0.013,0.001,0.000001,0
22098,4,0.013,0.001,0.000001,0
22143,5,0.016,0.002,0.000002,0
22188,4,0.013,0.001,0.000001,0
22233,4,0.013,0.001,0.000001,0
22286,3,0.01,0.001,0.000001,0
22331,2,0.006,0.001,0.000001,0
22376,3,0.01,0.001,0.000001,0
22421,3,0.01,0.001,0.000001,0
22466,3,0.01,0.001,0.000001,0
22518,2,0.006,0.001,0.000001,0
22563,2,0.006,0.001,0.000001,0
22608,3,0.01,0.001,0.000001,0
22653,3,0.01,0.001,0.000001,0
22698,4,0.013,0.001,0.000001,0
22743,4,0.013,0.001,0.000001,0
22788,4,0.013,0.001,0.000001,0
22833,4,0.013,0.001,0.000001,0
22886,4,0.013,0.001,0.000001,0
22931,4,0.013,0.001,0.000001,0
22976,4,0.013,0.001,0.000001,0
23021,1,0.003,0,0,0
23066,4,0.013,0.001,0.000001,0
23111,4,0.013,0.001,0.000001,0
23156,4,0.013,0.001,0.000001,0
23201,4,0.013,0.001,0.000001,0
23246,4,0.013,0.001,0.000001,0
23291,4,0.013,0.001,0.000001,0
23336,4,0.013,0.001,0.000001,0
23381,2,0.006,0.001,0.000001,0
23426,5,0.016,0.002,0.000002,0
23479,4,0.013,0.001,0.000001,0
23524,4,0.013,0.001,0.000001,0
23569,4,0.013,0.001,0.000001,0
23614,3,0.01,0.001,0.000001,0
23659,4,0.013,0.001,0.000001,0
